지점명	미세먼지농도	년도	월자
서울	57	14	1
부산	57	14	1
대구	60	14	1
인천	58	14	1
광주	52	14	1
대전	56	14	1
울산	55	14	1
서울	57	14	2
부산	45	14	2
대구	50	14	2
인천	58	14	2
광주	46	14	2
대전	51	14	2
울산	45	14	2
서울	60	14	3
부산	50	14	3
대구	50	14	3
인천	58	14	3
광주	49	14	3
대전	50	14	3
울산	49	14	3
서울	58	14	4
부산	53	14	4
대구	53	14	4
인천	59	14	4
광주	43	14	4
대전	45	14	4
울산	56	14	4
서울	63	14	5
부산	71	14	5
대구	60	14	5
인천	67	14	5
광주	64	14	5
대전	59	14	5
울산	67	14	5
서울	38	14	6
부산	54	14	6
대구	42	14	6
인천	43	14	6
광주	41	14	6
대전	39	14	6
울산	48	14	6
서울	38	14	7
부산	48	14	7
대구	38	14	7
인천	41	14	7
광주	29	14	7
대전	31	14	7
울산	45	14	7
서울	29	14	8
부산	36	14	8
대구	27	14	8
인천	34	14	8
광주	32	14	8
대전	23	14	8
울산	32	14	8
서울	29	14	9
부산	39	14	9
대구	33	14	9
인천	36	14	9
광주	31	14	9
대전	27	14	9
울산	35	14	9
서울	33	14	10
부산	39	14	10
대구	36	14	10
인천	40	14	10
광주	32	14	10
대전	29	14	10
울산	39	14	10
서울	45	14	11
부산	47	14	11
대구	49	14	11
인천	47	14	11
광주	37	14	11
대전	39	14	11
울산	46	14	11
서울	44	14	12
부산	42	14	12
대구	44	14	12
인천	45	14	12
광주	35	14	12
대전	43	14	12
울산	38	14	12
서울	49	15	1
부산	47	15	1
대구	54	15	1
인천	53	15	1
광주	43	15	1
대전	52	15	1
울산	46	15	1
서울	84	15	2
부산	63	15	2
대구	66	15	2
인천	84	15	2
광주	59	15	2
대전	68	15	2
울산	64	15	2
서울	71	15	3
부산	56	15	3
대구	61	15	3
인천	73	15	3
광주	64	15	3
대전	68	15	3
울산	59	15	3
서울	45	15	4
부산	48	15	4
대구	42	15	4
인천	54	15	4
광주	40	15	4
대전	40	15	4
울산	49	15	4
서울	45	15	5
부산	56	15	5
대구	48	15	5
인천	52	15	5
광주	41	15	5
대전	49	15	5
울산	57	15	5
서울	35	15	6
부산	49	15	6
대구	47	15	6
인천	42	15	6
광주	41	15	6
대전	40	15	6
울산	50	15	6
서울	30	15	7
부산	37	15	7
대구	34	15	7
인천	34	15	7
광주	31	15	7
대전	31	15	7
울산	38	15	7
서울	34	15	8
부산	39	15	8
대구	37	15	8
인천	42	15	8
광주	29	15	8
대전	32	15	8
울산	38	15	8
서울	28	15	9
부산	29	15	9
대구	30	15	9
인천	38	15	9
광주	25	15	9
대전	27	15	9
울산	28	15	9
서울	44	15	10
부산	43	15	10
대구	43	15	10
인천	53	15	10
광주	49	15	10
대전	50	15	10
울산	43	15	10
서울	33	15	11
부산	33	15	11
대구	34	15	11
